r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     0.000000     0.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     0.600000     0.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     1.200000     1.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     1.800000     1.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     2.400000     2.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     3.000000     3.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     3.600000     3.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     4.200000     4.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     4.800000     4.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     5.400000     5.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     6.000000     6.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     6.600000     6.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     7.200000     7.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     7.800000     7.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     8.400000     8.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     9.000000     9.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =     9.600000     9.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    10.200000    10.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    10.800000    10.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    11.400000    11.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    12.000000    12.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    12.600000    12.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    13.200000    13.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    13.800000    13.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    14.400000    14.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    15.000000    15.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    15.600000    15.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    16.200000    16.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    16.800000    16.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    17.400000    17.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    18.000000    18.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    18.600000    18.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    19.200000    19.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    19.800000    19.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    20.400000    20.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    21.000000    21.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    21.600000    21.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    22.200000    22.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    22.800000    22.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    23.400000    23.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    24.000000    24.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    24.600000    24.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    25.200000    25.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    25.800000    25.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    26.400000    26.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    27.000000    27.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    27.600000    27.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    28.200000    28.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    28.800000    28.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    29.400000    29.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    30.000000    30.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    30.600000    30.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    31.200000    31.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    31.800000    31.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    32.400000    32.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    33.000000    33.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    33.600000    33.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    34.200000    34.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    34.800000    34.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    35.400000    35.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    36.000000    36.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    36.600000    36.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    37.200000    37.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    37.800000    37.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    38.400000    38.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    39.000000    39.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    39.600000    39.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    40.200000    40.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    40.800000    40.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    41.400000    41.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    42.000000    42.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    42.600000    42.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    43.200000    43.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    43.800000    43.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    44.400000    44.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    45.000000    45.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    45.600000    45.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    46.200000    46.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    46.800000    46.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    47.400000    47.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    48.000000    48.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    48.600000    48.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    49.200000    49.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    49.800000    49.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    50.400000    50.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    51.000000    51.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    51.600000    51.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    52.200000    52.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    52.800000    52.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    53.400000    53.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    54.000000    54.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    54.600000    54.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    55.200000    55.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    55.800000    55.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    56.400000    56.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    57.000000    57.000000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    57.600000    57.600000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    58.200000    58.200000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    58.800000    58.800000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    59.400000    59.400000          NaN          NaN          NaN          NaN
r1,r2, hs1,hs2, hsgrad1,hsgrad2 =    60.000000    60.000000          NaN          NaN          NaN          NaN
